"city","state_code","median_sale_price"
"BEVERLY HILLS","CA","3022500"
"BEVERLY HILLS","CA","1185000"
"BEVERLY HILLS","CA","1090000"
"BEVERLY HILLS","CA","6050000"
"BEVERLY HILLS","CA","3675500"
"BEVERLY HILLS","CA","2518000"
"BEVERLY HILLS","CA","1255000"
"BEVERLY HILLS","CA","947500"
"BEVERLY HILLS","CA","2017500"
"BEVERLY HILLS","CA","4825000"
"BEVERLY HILLS","CA","1826500"
"BEVERLY HILLS","CA","1188000"
"BEVERLY HILLS","CA","4300000"
"BEVERLY HILLS","CA","1498250"
"BEVERLY HILLS","CA","1300000"
"BEVERLY HILLS","CA","2825000"
"BEVERLY HILLS","CA","2657500"
"BEVERLY HILLS","CA","3705000"
"BEVERLY HILLS","CA","777000"
"BEVERLY HILLS","CA","3667500"
"BEVERLY HILLS","CA","7104500"
"BEVERLY HILLS","CA","3954250"
"BEVERLY HILLS","CA","4025000"
"BEVERLY HILLS","CA","2410000"
"BEVERLY HILLS","CA","2220000"
"BEVERLY HILLS","CA","2495500"
"BEVERLY HILLS","CA","2850000"
"BEVERLY HILLS","CA","9100000"
"BEVERLY HILLS","CA","1200000"
"BEVERLY HILLS","CA","4426000"
"BEVERLY HILLS","CA","2345000"
"BEVERLY HILLS","CA","2733500"
"BEVERLY HILLS","CA","1830000"
"BEVERLY HILLS","CA","1335000"
"BEVERLY HILLS","CA","3018000"
"BEVERLY HILLS","CA","4175000"
"BEVERLY HILLS","CA","1110000"
"BEVERLY HILLS","CA","3022500"
"BEVERLY HILLS","CA","2205000"
"BEVERLY HILLS","CA","2752500"
"BEVERLY HILLS","CA","1527500"
"BEVERLY HILLS","CA","3675000"
"BEVERLY HILLS","CA","1080000"
"BEVERLY HILLS","CA","1900000"
"BEVERLY HILLS","CA","1399000"
"BEVERLY HILLS","CA","3470000"
"BEVERLY HILLS","CA","5175000"
"BEVERLY HILLS","CA","5025000"
"BEVERLY HILLS","CA","882500"
"BEVERLY HILLS","CA","975000"
"BEVERLY HILLS","CA","1900000"
"BEVERLY HILLS","CA","2706000"
"BEVERLY HILLS","CA","2993800"
"BEVERLY HILLS","CA","3075000"
"BEVERLY HILLS","CA","745000"
"BEVERLY HILLS","CA","3459500"
"BEVERLY HILLS","CA","1325000"
"BEVERLY HILLS","CA","1287500"
"BEVERLY HILLS","CA","1225000"
"BEVERLY HILLS","CA","1400000"
"BEVERLY HILLS","CA","2550000"
"BEVERLY HILLS","CA","1020000"
"BEVERLY HILLS","CA","1210250"
"BEVERLY HILLS","CA","2599000"
"BEVERLY HILLS","CA","1116250"
"BEVERLY HILLS","CA","1945000"
"BEVERLY HILLS","CA","1800000"
"BEVERLY HILLS","CA","3825000"
"BEVERLY HILLS","CA","5075000"
"BEVERLY HILLS","CA","6125000"
"BEVERLY HILLS","CA","1492500"
"BEVERLY HILLS","CA","2609130"
"BEVERLY HILLS","CA","1100000"
"BEVERLY HILLS","CA","5925000"
"BEVERLY HILLS","CA","1235000"
"BEVERLY HILLS","CA","4138000"
"BEVERLY HILLS","CA","4900000"
"BEVERLY HILLS","CA","2650000"
"BEVERLY HILLS","CA","6012500"
"BEVERLY HILLS","CA","1090400"
"BEVERLY HILLS","CA","3955000"
"BEVERLY HILLS","CA","2925000"
"BEVERLY HILLS","CA","2330000"
"BEVERLY HILLS","CA","1040000"
"BEVERLY HILLS","CA","2750000"
"BEVERLY HILLS","CA","1160250"
"BEVERLY HILLS","CA","1420000"
"BEVERLY HILLS","CA","1550000"
"BEVERLY HILLS","CA","4975000"
"BEVERLY HILLS","CA","6600000"
"BEVERLY HILLS","CA","3325000"
"BEVERLY HILLS","CA","1295000"
"BEVERLY HILLS","CA","820000"
"BEVERLY HILLS","CA","2650000"
"BEVERLY HILLS","CA","2724500"
"BEVERLY HILLS","CA","883000"
"BEVERLY HILLS","CA","4897500"
"BEVERLY HILLS","CA","1807500"
"BEVERLY HILLS","CA","2300000"
"BEVERLY HILLS","CA","3099500"
"BEVERLY HILLS","CA","1450000"
"BEVERLY HILLS","CA","784500"
"BEVERLY HILLS","CA","1330000"
"BEVERLY HILLS","CA","3905000"
"BEVERLY HILLS","CA","3281000"
"BEVERLY HILLS","CA","3980000"
"BEVERLY HILLS","CA","6900000"
"BEVERLY HILLS","CA","4785000"
"BEVERLY HILLS","CA","3076500"
"BEVERLY HILLS","CA","1200000"
"BEVERLY HILLS","CA","1115000"
"BEVERLY HILLS","CA","820000"
"BEVERLY HILLS","CA","1151500"
"BEVERLY HILLS","CA","3982500"
"BEVERLY HILLS","CA","1209000"
"BEVERLY HILLS","CA","3268000"
"BEVERLY HILLS","CA","4141000"
"BEVERLY HILLS","CA","1335000"
"BEVERLY HILLS","CA","1275000"
"BEVERLY HILLS","CA","980000"
"BEVERLY HILLS","CA","1040000"
"BEVERLY HILLS","CA","1401000"
"BEVERLY HILLS","CA","5900000"
"BEVERLY HILLS","CA","1675000"
"BEVERLY HILLS","CA","1382000"
"BEVERLY HILLS","CA","1549750"
"BEVERLY HILLS","CA","2609000"
"BEVERLY HILLS","CA","3050000"
"BEVERLY HILLS","CA","1775000"
"BEVERLY HILLS","CA","2089000"
"BEVERLY HILLS","CA","841500"
"BEVERLY HILLS","CA","2700000"
"BEVERLY HILLS","CA","1900000"
"BEVERLY HILLS","CA","1925000"
"BEVERLY HILLS","CA","2480000"
"BEVERLY HILLS","CA","1833000"
"BEVERLY HILLS","CA","1690000"
"BEVERLY HILLS","CA","7172500"
"BEVERLY HILLS","CA","8280000"
"BEVERLY HILLS","CA","2350000"
"BEVERLY HILLS","CA","1640000"
"BEVERLY HILLS","CA","1500000"
"BEVERLY HILLS","CA","1350000"
"BEVERLY HILLS","CA","1750000"
"BEVERLY HILLS","CA","777500"
"BEVERLY HILLS","CA","2515000"
"BEVERLY HILLS","CA","4350000"
"BEVERLY HILLS","CA","2500000"
"BEVERLY HILLS","CA","3232500"
"BEVERLY HILLS","CA","5560000"
"BEVERLY HILLS","CA","2750000"
"BEVERLY HILLS","CA","6300000"
"BEVERLY HILLS","CA","4200000"
"BEVERLY HILLS","CA","10820000"
"BEVERLY HILLS","CA","3300000"
"BEVERLY HILLS","CA","1141250"
"BEVERLY HILLS","CA","2042500"
"BEVERLY HILLS","CA","5944000"
"BEVERLY HILLS","CA","4418500"
"BEVERLY HILLS","CA","1237500"
"BEVERLY HILLS","CA","3430000"
"BEVERLY HILLS","CA","6112272.5"
"BEVERLY HILLS","CA","1663750"
"BEVERLY HILLS","CA","837000"
"BEVERLY HILLS","CA","4178250"
"BEVERLY HILLS","CA","2088500"
"BEVERLY HILLS","CA","916000"
"BEVERLY HILLS","CA","1692000"
"BEVERLY HILLS","CA","2235000"
"BEVERLY HILLS","CA","750000"
"BEVERLY HILLS","CA","4050000"
"BEVERLY HILLS","CA","7300000"
"BEVERLY HILLS","CA","2310000"
"BEVERLY HILLS","CA","1550250"
"BEVERLY HILLS","CA","9550000"
"BEVERLY HILLS","CA","3647500"
"BEVERLY HILLS","CA","2288000"
"BEVERLY HILLS","CA","920000"
"BEVERLY HILLS","CA","2973500"
"BEVERLY HILLS","CA","8037500"
"BEVERLY HILLS","CA","3800000"
"BEVERLY HILLS","CA","6622500"
"BEVERLY HILLS","CA","5620500"
"BEVERLY HILLS","CA","6950000"
"BEVERLY HILLS","CA","1650000"
"BEVERLY HILLS","CA","1300000"
"BEVERLY HILLS","CA","3948000"
"BEVERLY HILLS","CA","940000"
"BEVERLY HILLS","CA","7380000"
"BEVERLY HILLS","CA","2075000"
"BEVERLY HILLS","CA","3000000"
"BEVERLY HILLS","CA","7500000"
"BEVERLY HILLS","CA","1800000"
"BEVERLY HILLS","CA","1410000"
"BEVERLY HILLS","CA","11967500"
"BEVERLY HILLS","CA","7500000"
"BEVERLY HILLS","CA","6310000"
"BEVERLY HILLS","CA","1035000"
"BEVERLY HILLS","CA","977500"
"BEVERLY HILLS","CA","1608000"
"BEVERLY HILLS","CA","929000"
"BEVERLY HILLS","CA","2912500"
"BEVERLY HILLS","CA","1546500"
"BEVERLY HILLS","CA","1015000"
